Base,Romanized,Yiddish,Gloss,Definition
hoykhpunkt,hoykhpunkt,הױכפּונקט,NOUN.MASC,"summit"
hoykhpunkt,hoykhpunktn,הױכפּונקטן,NOUN.PL,"summit"
hoykhrangik,hoykhrangikn,הױכראַנגיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"high-ranking"
hoykhrangik,hoykhrangik,הױכראַנגיק,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"high-ranking"
hoykhrangik,hoykhrangiker,הױכראַנגיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"high-ranking"
hoykhrangik,hoykhrangike,הױכראַנגיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"high-ranking"
hoykhrangik,hoykhrangiks,הױכראַנגיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"high-ranking"
hoykhreder,hoykhreders,הױכרעדערס,NOUN.MASC.PL,"speaker (device)"
hoykhreder,hoykhreder,הױכרעדער,NOUN.MASC,"speaker (device)"
hoykhrelyef,hoykhrelyef,הױכרעליעף,NOUN.MASC,"high relief"
hoykhrelyef,hoykhrelyefn,הױכרעליעפֿן,NOUN.PL,"high relief"
hoykhshatsung,hoykhshatsung,הױכשאַצונג,NOUN.FEM,"esteem"
hoykhshatsung,hoykhshatsungen,הױכשאַצונגען,NOUN.PL,"esteem"
hoykhshprung,hoykhshprung,הױכשפּרונג,NOUN.MASC,"high jump"
hoykhshprung,hoykhshprungen,הױכשפּרונגען,NOUN.PL,"high jump"
hoyl,hoylst,הױלסט,V.2.SG V.2.SG,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,hoyls,הױלס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"unadorned, pure; bare; hollow"
hoyl,gehoylt,געהױלט,PART PART,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,oysgehoyltn,אױסגעהױלטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"ream, hollow out"
hoyl,hoylndikn,הױלנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,oyshoylndiks,אױשױלנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"ream, hollow out"
hoyl,hoylt,הױלט,V.3.SG V.2.PL V.3.SG V.2.PL,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,gehoyltn,געהױלטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,gehoylter,געהױלטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,oysgehoylter,אױסגעהױלטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"ream, hollow out"
hoyl,gehoylte,געהױלטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,oyshoylndike,אױשױלנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"ream, hollow out"
hoyl,oyshoylndiker,אױשױלנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"ream, hollow out"
hoyl,oyshoylndik,אױשױלנדיק,PRES.PTCP,"ream, hollow out"
hoyl,hoyler,הױלער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"unadorned, pure; bare; hollow"
hoyl,hoylndiks,הױלנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,hoylndike,הױלנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,hoyl,הױל,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"unadorned, pure; bare; hollow"
hoyl,hoylndiker,הױלנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,oyshoyln,אױסהױלן,V.INF,"ream, hollow out"
hoyl,oysgehoylt,אױסגעהױלט,UNK1,"ream, hollow out"
hoyl,oysgehoylts,אױסגעהױלטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"ream, hollow out"
hoyl,hoylndik,הױלנדיק,V.PRES.PTCP V.PRES.PTCP,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,oyshoylndikn,אױשױלנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"ream, hollow out"
hoyl,gehoylts,געהױלטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,oystsuhoyln,אױסצוהױלן,V.INF,"ream, hollow out"
hoyl,hoylstu,הױלסטו,V.2.SG V.2.SG,"howl (sound of a dog or wolf); ream, hollow out"
hoyl,hoyln,הױלן,V.INF V.1.PL V.3.PL V.INF V.1.PL V.3.PL ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"howl (sound of a dog or wolf); ream, hollow out; unadorned, pure; bare; hollow"
hoyl,hoyle,הױלע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"unadorned, pure; bare; hollow"
hoyl,oysgehoylte,אױסגעהױלטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"ream, hollow out"
hoylekh,hoylekh,הולך,NOUN.MASC?,"manner of dress"
hoylhoytik,hoylhoytiker,הױלהױטיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"bareskin"
hoylhoytik,hoylhoytikn,הױלהױטיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"bareskin"
hoylhoytik,hoylhoytike,הױלהױטיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"bareskin"
hoylhoytik,hoylhoytiks,הױלהױטיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"bareskin"
hoylhoytik,hoylhoytik,הױלהױטיק,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"bareskin"
hoyn,hoynen,הױנען,NOUN.PL,"treasure, fortune"
hoyn,hoyn,הון,NOUN.MASC,"treasure, fortune"
hoyn_rav,hoyptelekh,הױפּטעלעך,NOUN.DIM.PL,"piece (of fruit); head (of cabbage)"
hoyn_rav,heyptlekh,הײפּטלעך,NOUN.DIM.PL,"piece (of fruit); head (of cabbage)"
hoyn_rav,heyptl,הײפּטל,NOUN.DIM.SG,"piece (of fruit); head (of cabbage)"
hoyn_rav,hiptelekh,היפּטעלעך,NOUN.DIM.PL,"piece (of fruit); head (of cabbage)"
hoyn_rav,hiptl,היפּטל,NOUN.DIM.SG,"piece (of fruit); head (of cabbage)"
hoyn_rav,hiptele,היפּטעלע,NOUN.DIM.SG,"piece (of fruit); head (of cabbage)"
hoyn_rav,hoyptele,הױפּטעלע,NOUN.DIM.SG,"piece (of fruit); head (of cabbage)"
hoyn_rav,hiptlekh,היפּטלעך,NOUN.DIM.PL,"piece (of fruit); head (of cabbage)"
hoyn_rav,hoyn_rav,הון־רבֿ,NOUN.MASC?,"treasure, fortune"
hoyn_rav,heyptele,הײפּטעלע,NOUN.DIM.SG,"piece (of fruit); head (of cabbage)"
hoyn_rav,hoyptlekh,הױפּטלעך,NOUN.DIM.PL,"piece (of fruit); head (of cabbage)"
hoyn_rav,heyptelekh,הײפּטעלעך,NOUN.DIM.PL,"piece (of fruit); head (of cabbage)"
hoyn_rav,hoyptl,הױפּטל,NOUN.DIM.SG,"piece (of fruit); head (of cabbage)"
hoypt,hoypte,הױפּטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"principal"
hoypt,hoypter,הױפּטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"principal"
hoypt,hoypts,הױפּטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"principal"
hoypt,hoyptn,הױפּטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"principal"
hoypt,hoypt,הױפּט,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"principal"
hoyptbagriser,hoyptbagrisers,הױפּטבאַגריסערס,NOUN.MASC.PL,"host (of a lecturer)"
hoyptbagriser,hoyptbagriser,הױפּטבאַגריסער,NOUN.MASC,"host (of a lecturer)"
hoyptdyalekt,hoyptdyalektn,הױפּטדיאַלעקטן,NOUN.PL,"principal dialect"
hoyptdyalekt,hoyptdyalekt,הױפּטדיאַלעקט,NOUN.MASC,"principal dialect"
hoyptfilm,hoyptfilm,הױפּטפֿילם,NOUN.MASC,"mainstream film"
hoyptfilm,hoyptfilmen,הױפּטפֿילמען,NOUN.PL,"mainstream film"
hoyptfokus,hoyptfokus,הױפּטפֿאָקוס,NOUN.MASC,"principal focus"
hoyptheld,hoyptheldn,הױפּטהעלדן,NOUN.PL,"protagonist; hero"
hoyptheld,hoyptheld,הױפּטהעלד,NOUN.MASC,"protagonist; hero"
hoyptkapo,hoyptkapo,הױפּטקאַפּאָ,NOUN.MASC,"head kapo (position in concentration camp)"
hoyptkonte,hoyptkonte,הױפּטקאָנטע,NOUN.FEM,"main account"
hoyptkonte,hoyptkontes,הױפּטקאָנטעס,NOUN.FEM.PL,"main account"
hoyptkvartir,hoyptkvartir,הױפּטקװאַרטיר,NOUN.FEM,"headquarters"
hoyptkvartir,hoyptkvartirn,הױפּטקװאַרטירן,NOUN.PL,"headquarters"
hoyptman,hoyptmener,הױפּטמענער,NOUN.PL,"chief"
hoyptman,hoyptman,הױפּטמאַן,NOUN.MASC,"chief"
hoyptmark,hoyptmark,הױפּטמאַרק,NOUN.MASC,"major supplier"
hoyptmark,hoyptmerk,הױפּטמערק,NOUN.PL,"major supplier"
hoyptmayster,hoyptmayster,הױפּטמײַסטער,NOUN.MASC,"chief official"
hoyptmayster,hoyptmaysters,הױפּטמײַסטערס,NOUN.MASC.PL,"chief official"
hoyptmuskl,hoyptmusklen,הױפּטמוסקלען,NOUN.PL,"main muscle"
hoyptmuskl,hoyptmuskl,הױפּטמוסקל,NOUN.MASC,"main muscle"
hoyptpapke,hoyptpapkes,הױפּטפּאַפּקעס,NOUN.FEM.PL,"directory (computer)"
hoyptpapke,hoyptpapke,הױפּטפּאַפּקע,NOUN.FEM,"directory (computer)"
hoyptplats,hoyptpletser,הױפּטפּלעצער,NOUN.PL,"main place"
hoyptplats,hoyptplats,הױפּטפּלאַץ,NOUN.MASC,"main place"
hoyptrole,hoyptroles,הױפּטראָלעס,NOUN.FEM.PL,"main rôle"
hoyptrole,hoyptrole,הױפּטראָלע,NOUN.FEM,"main rôle"
hoyptrolist,hoyptrolistn,הױפּטראָליסטן,NOUN.PL,"star (of a performance)"
hoyptrolist,hoyptrolist,הױפּטראָליסט,NOUN.MASC,"star (of a performance)"
hoyptrolistke,hoyptrolistke,הױפּטראָליסטקע,NOUN,"star (of a performance)"
hoyptrolistke,hoyptrolistkes,הױפּטראָליסטקעס,NOUN.PL,"star (of a performance)"
hoyptshtot,hoyptshtot,הױפּטשטאָט,NOUN.FEM,"capital"
hoyptshtot,hoyptshtet,הױפּטשטעט,NOUN.PL,"capital"
hoyptshtrikh,hoyptshtrikh,הױפּטשטריך,NOUN.NEUT,"principal feature"
hoyptshtrikh,hoyptshtrikhn,הױפּטשטריכן,NOUN.PL,"principal feature"
hoyptshtrom,hoyptshtromik,הױפּטשטראָמיק,ADJ,"main stream"
hoyptshtrom,hoyptshtrom,הױפּטשטראָם,NOUN.MASC,"main stream"
hoyptshtrom,hoyptshtromen,הױפּטשטראָמען,NOUN.PL,"main stream"
hoyptshtrom,hoyptshtromikn,הױפּטשטראָמיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"main stream"
hoyptshtrom,hoyptshtromiker,הױפּטשטראָמיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"main stream"
hoyptshtrom,hoyptshtromiks,הױפּטשטראָמיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"main stream"
hoyptshtrom,hoyptshtromike,הױפּטשטראָמיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"main stream"
hoyptteme,hoypttemes,הױפּטטעמעס,NOUN.FEM.PL,"main point"
hoyptteme,hoyptteme,הױפּטטעמע,NOUN.FEM,"main point"
hoypttrefer,hoypttrefer,הױפּטטרעפֿער,NOUN.MASC,"lottery winner, winning ticket"
hoypttsil,hoypttsiln,הױפּטצילן,NOUN.PL,"principal goal"
hoypttsil,hoypttsil,הױפּטציל,NOUN.MASC,"principal goal"
hoyptvort,hoyptvort,הױפּטװאָרט,NOUN.NEUT,"noun (grammar); main point"
hoyptvort,hoyptverter,הױפּטװערטער,NOUN.PL,"noun (grammar); main point"
hoyptzakh,hoyptzakhlekh,הױפּטזאַכלעך,ADJ,"especially; main point, principal feature"
hoyptzakh,hoyptzakh,הױפּטזאַך,NOUN.FEM,"main point, principal feature"
hoyptzakh,hoyptzakhlekher,הױפּטזאַכלעכער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"main point, principal feature"
hoyptzakh,hoyptzakhlekhn,הױפּטזאַכלעכן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"main point, principal feature"
hoyptzakh,hoyptzakhlekhe,הױפּטזאַכלעכע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"main point, principal feature"
hoyptzakh,hoyptzakhlekhs,הױפּטזאַכלעכס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"main point, principal feature"
hoyptzakh,hoyptzakhn,הױפּטזאַכן,NOUN.PL,"main point, principal feature"
hoyptzamlung,hoyptzamlungen,הױפּטזאַמלונגען,NOUN.PL,"principal collection"
hoyptzamlung,hoyptzamlung,הױפּטזאַמלונג,NOUN.FEM,"principal collection"
hoyptzats,hoyptzats,הױפּטזאַץ,NOUN.MASC,"main clause (grammar)"
hoyptzats,hoyptzatsn,הױפּטזאַצן,NOUN.PL,"main clause (grammar)"
hoyreg,gehoyregte,געהױרעגטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"beat up"
hoyreg,hoyregndikn,הױרעגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"beat up"
hoyreg,gehoyregtn,געהױרעגטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"beat up"
hoyreg,gehoyregts,געהױרעגטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"beat up"
hoyreg,hoyregst,הױרעגסט,V.2.SG,"beat up"
hoyreg,hoyregndiker,הױרעגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"beat up"
hoyreg,hoyregstu,הױרעגסטו,V.2.SG,"beat up"
hoyreg,gehoyregter,געהױרעגטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"beat up"
hoyreg,hoyregndik,הױרעגנדיק,V.PRES.PTCP,"beat up"
hoyreg,hoyregndiks,הױרעגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"beat up"
hoyreg,hoyregn,הױרעגן,V.INF V.1.PL V.3.PL,"beat up"
hoyreg,hoyregt,הױרעגט,V.3.SG V.2.PL,"beat up"
hoyreg,gehoyregt,געהױרעגט,PART,"beat up"
hoyreg,hoyregndike,הױרעגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"beat up"
hoyries,hoyries,הוריות,NOUN.PL,"dreams, daydreams; tractate of Talmud"
hoysofe,hoysofes,הוספֿות,NOUN.PL,"supplement, appendix; pay raise"
hoyt,hoyt,הױט,NOUN.FEM,"skin"
hoyt,hoytike,הױטיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"skin"
hoyt,hoytiks,הױטיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"skin"
hoyt,hoytn,הױטן,NOUN.PL,"skin"
hoyt,haytelekh,הײַטעלעך,NOUN.DIM.PL,"membrane"
hoyt,hoytiker,הױטיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"skin"
hoyt,haytl,הײַטל,NOUN.DIM.SG,"membrane"
hoyt,haytele,הײַטעלע,NOUN.DIM.SG,"membrane"
hoyt,hoytik,הױטיק,ADJ,"skin"
hoyt,haytlekh,הײַטלעך,NOUN.DIM.PL,"membrane"
hoyt,hoytikn,הױטיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"skin"
hoyt-konditsyoner,hoyt-konditsyoner,הױט־קאָנדיציאָנער,NOUN.MASC,"skin conditioner"
hoytshmirekhts,hoytshmirekhtsn,הױטשמירעכצן,NOUN.PL,"hand and body lotion"
hoytshmirekhts,hoytshmirekhts,הױטשמירעכץ,NOUN.NEUT,"hand and body lotion"
hoytsoe,hoytsoe,הוצאה,NOUN.FEM,"expenses"
hoytsoe,hoytsoes,הוצאָות,NOUN.PL,"expenses"
hoyve,hoyve,הװה,NOUN.MASC,"present (tense)"
hoyz,hayzlekh,הײַזלעך,NOUN.DIM.PL,"house"
hoyz,hayzl,הײַזל,NOUN.DIM.SG,"house"
hoyz,gehoyztn,געהױזטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"dwell"
hoyz,hayzele,הײַזעלע,NOUN.DIM.SG,"house"
hoyz,gehoyzter,געהױזטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"dwell"
hoyz,hoyzik,הױזיק,ADJ,"house"
hoyz,hoyzn,הױזן,V.INF V.1.PL V.3.PL NOUN.PL,"dwell; trousers (clothing) (usually plural)"
hoyz,hoyziker,הױזיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"house"
hoyz,hayzelekh,הײַזעלעך,NOUN.DIM.PL,"house"
hoyz,hoyzstu,הױזסטו,V.2.SG,"dwell"
hoyz,hoyzike,הױזיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"house"
hoyz,gehoyzte,געהױזטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"dwell"
hoyz,hoyziks,הױזיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"house"
hoyz,hoyzndiker,הױזנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"dwell"
hoyz,hoyz,הױז,NOUN.NEUT NOUN.MASC,"house; trousers (clothing) (usually plural)"
hoyz,gehoyzt,געהױזט,PART,"dwell"
hoyz,hoyzndike,הױזנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"dwell"
hoyz,hoyzndiks,הױזנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"dwell"
hoyz,hayzer,הײַזער,NOUN.PL,"house"
hoyz,hoyzndik,הױזנדיק,V.PRES.PTCP,"dwell"
hoyz,gehoyzts,געהױזטס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"dwell"
hoyz,hoyzs,הױזס,NOUN.PL,"trousers (clothing) (usually plural)"
hoyz,heyzlekh,הײזלעך,NOUN.DIM.PL,"trousers (clothing) (usually plural)"
hoyz,hoyzst,הױזסט,V.2.SG,"dwell"
hoyz,heyzele,הײזעלע,NOUN.DIM.SG,"trousers (clothing) (usually plural)"
hoyz,heyzl,הײזל,NOUN.DIM.SG,"trousers (clothing) (usually plural)"
hoyz,hoyzt,הױזט,V.3.SG V.2.PL,"dwell"
hoyz,hoyzikn,הױזיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"house"
hoyz,heyzelekh,הײזעלעך,NOUN.DIM.PL,"trousers (clothing) (usually plural)"
hoyz,hoyzndikn,הױזנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"dwell"
hoyzarbet,hoyzarbet,הױזאַרבעט,NOUN.FEM,"housework"
hoyzgezind,hoyzgezind,הױזגעזינד,NOUN.NEUT,"household members"
hoyzgezint,hoyzgezint,הױזגעזינט,NOUN.NEUT,"family members"
hoyzirer,hoyzirer,הױזירער,NOUN.MASC,"peddler"
hoyzirer,hoyzirers,הױזירערס,NOUN.MASC.PL,"peddler"
hoyzmoler,hoyzmolers,הױזמאָלערס,NOUN.MASC.PL,"house painter"
hoyzmoler,hoyzmoler,הױזמאָלער,NOUN.MASC,"house painter"
hoyznrimen,hoyznrimen,הױזנרימען,NOUN.MASC,"trouser belt"
hoyznrimen,hoyznrimens,הױזנרימענס,NOUN.MASC.PL,"trouser belt"
hoyzvirt,hoyzvirtn,הױזװירטן,NOUN.PL,"building owner"
hoyzvirt,hoyzvirt,הױזװירט,NOUN.MASC,"building owner"
hoyzvirtshaft,hoyzvirtshaft,הױזװירטשאַפֿט,NOUN.FEM,"ownership"
hoyzvirtshaft,hoyzvirtshaftn,הױזװירטשאַפֿטן,NOUN.PL,"ownership"
hoz,hezl,העזל,NOUN.DIM.SG,"rabbit; hare"
hoz,hezele,העזעלע,NOUN.DIM.SG,"rabbit; hare"
hoz,hoz,האָז,NOUN.MASC,"rabbit; hare"
hoz,hezer,העזער,NOUN.PL,"rabbit; hare"
hoz,hezlekh,העזלעך,NOUN.DIM.PL,"rabbit; hare"
hoz,hozn,האָזן,NOUN.PL,"rabbit; hare"
hoz,hezelekh,העזעלעך,NOUN.DIM.PL,"rabbit; hare"
hoze,hoze,העזה,NOUN.FEM,"gall, impudence, insolence, audacity"
hozedik,hozedikere,האָזעדיקערע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL.COMP,"impudent, insolent"
hozedik,hozedikste,האָזעדיקסטע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL.SUPL,"impudent, insolent"
hozedik,hozedikern,האָזעדיקערן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG.COMP,"impudent, insolent"
hozedik,hozedikers,האָזעדיקערס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG.COMP,"impudent, insolent"
hozedik,hozedikstn,האָזעדיקסטן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG.SUPL,"impudent, insolent"
hozedik,hozediks,האָזעדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"impudent, insolent"
hozedik,hozedikster,האָזעדיקסטער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG.SUPL,"impudent, insolent"
hozedik,hozedik,העזהדיק,ADJ.SG.PRED,"impudent, insolent"
hozedik,hozedikerer,האָזעדיקערער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG.COMP,"impudent, insolent"
hozedik,hozedikn,האָזעדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"impudent, insolent"
hozedik,hozediker,האָזעדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"impudent, insolent"
hozedik,hozedike,האָזעדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"impudent, insolent"
hozikhe,hozikhener,האָזיכענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"rabbit; hare"
hozikhe,hozikhens,האָזיכענס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"rabbit; hare"
hozikhe,hozikhene,האָזיכענע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"rabbit; hare"
hozikhe,hozikhen,האָזיכען,ADJ,"rabbit; hare"
hozikhe,hozikhe,האָזיכע,NOUN,"rabbit; hare"
hozikhe,hozikhenem,האָזיכענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"rabbit; hare"
hozish,hozish,האָזיש,ADJ.PRED.SG ADJ.NEUT.NOM/ACC.INDF.SG,"hazlnut (with nus)"
hozish,hozishe,האָזישע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hazlnut (with nus)"
hozish,hozisher,האָזישער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hazlnut (with nus)"
hozish,hozishn,האָזישן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hazlnut (with nus)"
hozish,hozishes,האָזישעס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"hazlnut (with nus)"
hozlnus,hozlnus,האָזלנוס,NOUN.MASC,"hazlnut"
hozlnus,hozlnis,האָזלניס,NOUN.PL,"hazlnut"
hoznlip,hoznlipn,האָזנליפּן,NOUN.PL,"cleft palate"
hoznnus,hoznnus,האָזננוס,NOUN,"hazlnut"
hoznnus,hoznnis,האָזנניס,NOUN.PL,"hazlnut"
hoznus,hoznis,האָזניס,NOUN.PL,"hazlnut"
hoznus,hoznus,האָזנוס,NOUN,"hazlnut"
hplyth,hplyth,הפּליטה,NOUN,"Holocaust survivors"
hreblye,hreblye,הרעבליע,NOUN.FEM,"dike; dam"
hreblye,hreblyes,הרעבליעס,NOUN.FEM.PL,"dike; dam"
hretshke,hretshke,הרעטשקע,NOUN.FEM,"buckwheat (plant, Fagopyrum esculentum)"
hromade,hromade,הראָמאַדע,NOUN.FEM,"community (Ukranian громаде)"
hromade,hromades,הראָמאַדעס,NOUN.FEM.PL,"community (Ukranian громаде)"
hrube,hrube,הרובע,NOUN.FEM,"furnace; heating stove"
hrube,hrubes,הרובעס,NOUN.FEM.PL,"furnace; heating stove"
hrude,hrudes,הרודעס,?.PL,"dry ridge of earth"
hu-ha,hu-ha,הו־האַ,NOUN.MASC,"bustle; noise"
hubl,hublendiks,הובלענדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"plane; smooth with a plane"
hubl,hublendikn,הובלענדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"plane; smooth with a plane"
hubl,hubl,הובל,NOUN.MASC,"plane (tool)"
hubl,hublendike,הובלענדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"plane; smooth with a plane"
