Base,Romanized,Yiddish,Gloss,Definition
shlog,aropshlogndiker,אַראָפּשלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,oyfshlogndiker,אױפֿשלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"whisk, mix"
shlog,forgeshlogn,פֿאָרגעשלאָגן,UNK1,"suggest"
shlog,ibershlogndiks,איבערשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"interrupt (with dative)"
shlog,durkhgeshlogns,דורכגעשלאָגנס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsugeshlogener,צוגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"nail up; affix; close a deal"
shlog,untergeshlogn,אונטערגעשלאָגן,UNK1,"affix (lining to clothing; support to wood)"
shlog,forshlogndik,פֿאָרשלאָגנדיק,PRES.PTCP,"suggest"
shlog,oyfshlogn,אױפֿשלאָגן,V.INF,"whisk, mix"
shlog,aroysshlogndike,אַרױסשלאָגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hit, beat; fight (with zikh); churn (with puter)"
shlog,ibergeshlogenem,איבערגעשלאָגענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"interrupt (with dative)"
shlog,avekgeshlogener,אַװעקגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,tsugeshlogn,צוגעשלאָגן,UNK1 UNK1,"nail up; affix; close a deal"
shlog,aroyfshlogn,אַרױפֿשלאָגן,V.INF,"nail up; affix"
shlog,geshlogener,געשלאָגענער,PART.MASC.NOM.SG PART.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,ibergeshlogn,איבערגעשלאָגן,UNK1,"interrupt (with dative)"
shlog,arumgeshlogener,אַרומגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"line (inside)"
shlog,oyfgeshlogns,אױפֿגעשלאָגנס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"whisk, mix"
shlog,arayngeshlogns,אַרײַנגעשלאָגנס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,shleg,שלעג,NOUN.PL,"punch; wound"
shlog,aroyfgeshlogenem,אַרױפֿגעשלאָגענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"nail up; affix"
shlog,aropshlogndik,אַראָפּשלאָגנדיק,PRES.PTCP,"hit, beat; fight (with zikh); churn (with puter)"
shlog,aroyfshlogndik,אַרױפֿשלאָגנדיק,PRES.PTCP,"nail up; affix"
shlog,aroyfshlogndikn,אַרױפֿשלאָגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"nail up; affix"
shlog,oysshlogndiker,אױסשלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"recoup expenses, strike (the hour), knock out"
shlog,ibershlogndike,איבערשלאָגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"interrupt (with dative)"
shlog,opshlogn,אָפּשלאָגן,V.INF,"hit, beat; fight (with zikh); churn (with puter)"
shlog,untershlogndiks,אונטערשלאָגנדיקס,ADJ.NEUT.NOM.SG ADJ.NEUT.ACC.SG,"affix (lining to clothing; support to wood)"
shlog,aruntertsushlogn,אַרונטערצושלאָגן,V.INF,"deduct (money); tackle"
shlog,aruntergeshlogener,אַרונטערגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"deduct (money); tackle"
shlog,fortsushlogn,פֿאָרצושלאָגן,V.INF,"suggest"
shlog,avekshlogndike,אַװעקשלאָגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"hit, beat; fight (with zikh); churn (with puter)"
shlog,ontsushlogn,אָנצושלאָגן,V.INF,"thrash; repair; churn; propose; reach (with in/keyn)"
shlog,opshlogndik,אָפּשלאָגנדיק,PRES.PTCP,"hit, beat; fight (with zikh); churn (with puter)"
shlog,oysgeshlogenem,אױסגעשלאָגענעם,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"recoup expenses, strike (the hour), knock out"
shlog,arumshlogndike,אַרומשלאָגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"line (inside)"
shlog,opgeshlogn,אָפּגעשלאָגן,UNK1,"hit, beat; fight (with zikh); churn (with puter)"
shlog,ongeshlogener,אָנגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"thrash; repair; churn; propose; reach (with in/keyn)"
shlog,oyfshlogndikn,אױפֿשלאָגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"whisk, mix"
shlog,untertsushlogn,אונטערצושלאָגן,V.INF,"affix (lining to clothing; support to wood)"
shlog,oyfshlogndike,אױפֿשלאָגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"whisk, mix"
shlog,untershlogndiker,אונטערשלאָגנדיקער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"affix (lining to clothing; support to wood)"
shlog,shlogstu,שלאָגסטו,V.2.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,funandershlogndikn,פֿונאַנדערשלאָגנדיקן,ADJ.MASC.ACC.SG ADJ.MASC.DAT.SG ADJ.NEUT.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
shlog,forgeshlogene,פֿאָרגעשלאָגענע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"suggest"
shlog,onshlogndike,אָנשלאָגנדיקע,ADJ.FEM.NOM.SG ADJ.NEUT.NOM/ACC.DEF.SG ADJ.PL,"thrash; repair; churn; propose; reach (with in/keyn)"
shlog,ibergeshlogener,איבערגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"interrupt (with dative)"
shlog,durkhgeshlogener,דורכגעשלאָגענער,ADJ.MASC.NOM.SG ADJ.FEM.DAT.SG,"hit, beat; fight (with zikh); churn (with puter)"
